time|level|timeoffset|message|location
030121_223222.642|INFO|000.000000| System start timestamp: 33326| in C:\Project\PlusB-bin\PlusLib\src\PlusCommon\vtkPlusAccurateTimer.cxx(51)
030121_223222.645|INFO|000.003000| Software version: Plus-2.8.0.62873a16 - Win64| in vtkPlusLogger(188)
030121_223222.645|INFO|000.003000| Logging at level 3 (INFO) to file: C:/Project/PlusB-bin/bin/Release/Output/030121_223222_PlusLog.txt| in C:\Project\PlusB-bin\PlusLib\src\PlusServer\Tools\PlusServer.cxx(81)
030121_223222.648|INFO|000.006000| No force input has been provided| in C:\Project\PlusB-bin\PlusLib\src\PlusDataCollection\OpenHaptics\vtkPlusOpenHapticsDevice.cxx(154)
030121_223222.648|INFO|000.006000| Server status: Reading configuration.| in C:\Project\PlusB-bin\PlusLib\src\PlusServer\Tools\PlusServer.cxx(92)
030121_223222.649|INFO|000.007000| Server status: Connecting to devices.| in C:\Project\PlusB-bin\PlusLib\src\PlusServer\Tools\PlusServer.cxx(103)
030121_223223.864|INFO|001.222000| Server status: Starting servers.| in C:\Project\PlusB-bin\PlusLib\src\PlusServer\Tools\PlusServer.cxx(116)
030121_223223.868|INFO|001.226000| Plus OpenIGTLink server listening on IPs: 169.254.34.243, 192.168.2.144, 127.0.0.1 -- port 18944| in c:\project\plusb-bin\pluslib\src\plusserver\vtkPlusOpenIGTLinkServerWin32.cxx(81)
030121_223223.915|INFO|001.273000| Server status: Server(s) are running.| in C:\Project\PlusB-bin\PlusLib\src\PlusServer\Tools\PlusServer.cxx(147)
030121_223223.915|INFO|001.273000| Press Ctrl-C to quit.| in C:\Project\PlusB-bin\PlusLib\src\PlusServer\Tools\PlusServer.cxx(148)
030121_223243.950|INFO|021.308000| Received new client connection (client 1 at 127.0.0.1:18944). Number of connected clients: 1| in C:\Project\PlusB-bin\PlusLib\src\PlusServer\vtkPlusOpenIGTLinkServer.cxx(276)
030121_223244.101|INFO|021.459000| OpenIGTLink broadcasting started. No data was available between 0-0.216sec, therefore no data were broadcasted during this time period.| in C:\Project\PlusB-bin\PlusLib\src\PlusServer\vtkPlusOpenIGTLinkServer.cxx(427)
030121_223519.600|INFO|176.958000| Client disconnected - could not send TRANSFORM message to client (device name: StylusToBase  Timestamp: 1614656119.095028).| in C:\Project\PlusB-bin\PlusLib\src\PlusServer\vtkPlusOpenIGTLinkServer.cxx(1038)
030121_223519.808|INFO|177.166000| Client disconnected (127.0.0.1:18944). Number of connected clients: 0| in C:\Project\PlusB-bin\PlusLib\src\PlusServer\vtkPlusOpenIGTLinkServer.cxx(1143)
030121_223533.516|INFO|190.874000| Received new client connection (client 2 at 127.0.0.1:18944). Number of connected clients: 1| in C:\Project\PlusB-bin\PlusLib\src\PlusServer\vtkPlusOpenIGTLinkServer.cxx(276)
030121_223533.631|INFO|190.989000| OpenIGTLink broadcasting started. No data was available between 0-161.088sec, therefore no data were broadcasted during this time period.| in C:\Project\PlusB-bin\PlusLib\src\PlusServer\vtkPlusOpenIGTLinkServer.cxx(427)
030121_223753.850|INFO|331.208000| Client disconnected - could not send TRANSFORM message to client (device name: StylusToBase  Timestamp: 1614656273.347929).| in C:\Project\PlusB-bin\PlusLib\src\PlusServer\vtkPlusOpenIGTLinkServer.cxx(1038)
030121_223754.058|INFO|331.416000| Client disconnected (127.0.0.1:18944). Number of connected clients: 0| in C:\Project\PlusB-bin\PlusLib\src\PlusServer\vtkPlusOpenIGTLinkServer.cxx(1143)
030121_223805.077|INFO|342.435000| Received new client connection (client 3 at 127.0.0.1:18944). Number of connected clients: 1| in C:\Project\PlusB-bin\PlusLib\src\PlusServer\vtkPlusOpenIGTLinkServer.cxx(276)
030121_223805.278|INFO|342.636000| OpenIGTLink broadcasting started. No data was available between 0-312.741sec, therefore no data were broadcasted during this time period.| in C:\Project\PlusB-bin\PlusLib\src\PlusServer\vtkPlusOpenIGTLinkServer.cxx(427)
030121_224240.611|INFO|617.969000| Client disconnected - could not send TRANSFORM message to client (device name: StylusToBase  Timestamp: 1614656560.110443).| in C:\Project\PlusB-bin\PlusLib\src\PlusServer\vtkPlusOpenIGTLinkServer.cxx(1038)
030121_224240.819|INFO|618.177000| Client disconnected (127.0.0.1:18944). Number of connected clients: 0| in C:\Project\PlusB-bin\PlusLib\src\PlusServer\vtkPlusOpenIGTLinkServer.cxx(1143)
030121_224254.313|INFO|631.671000| Received new client connection (client 4 at 127.0.0.1:18944). Number of connected clients: 1| in C:\Project\PlusB-bin\PlusLib\src\PlusServer\vtkPlusOpenIGTLinkServer.cxx(276)
030121_224254.444|INFO|631.802000| OpenIGTLink broadcasting started. No data was available between 0-601.847sec, therefore no data were broadcasted during this time period.| in C:\Project\PlusB-bin\PlusLib\src\PlusServer\vtkPlusOpenIGTLinkServer.cxx(427)
030121_224753.815|INFO|931.173000| Client disconnected - could not send TRANSFORM message to client (device name: StylusToBase  Timestamp: 1614656873.313500).| in C:\Project\PlusB-bin\PlusLib\src\PlusServer\vtkPlusOpenIGTLinkServer.cxx(1038)
030121_224754.023|INFO|931.381000| Client disconnected (127.0.0.1:18944). Number of connected clients: 0| in C:\Project\PlusB-bin\PlusLib\src\PlusServer\vtkPlusOpenIGTLinkServer.cxx(1143)
030121_224811.030|INFO|948.388000| Received new client connection (client 5 at 127.0.0.1:18944). Number of connected clients: 1| in C:\Project\PlusB-bin\PlusLib\src\PlusServer\vtkPlusOpenIGTLinkServer.cxx(276)
030121_224811.049|INFO|948.407000| OpenIGTLink broadcasting started. No data was available between 0-918.446sec, therefore no data were broadcasted during this time period.| in C:\Project\PlusB-bin\PlusLib\src\PlusServer\vtkPlusOpenIGTLinkServer.cxx(427)
030121_224932.202|INFO|1029.560000| Client disconnected - could not send TRANSFORM message to client (device name: StylusToBase  Timestamp: 1614656971.699528).| in C:\Project\PlusB-bin\PlusLib\src\PlusServer\vtkPlusOpenIGTLinkServer.cxx(1038)
030121_224932.411|INFO|1029.769000| Client disconnected (127.0.0.1:18944). Number of connected clients: 0| in C:\Project\PlusB-bin\PlusLib\src\PlusServer\vtkPlusOpenIGTLinkServer.cxx(1143)
030121_224943.251|INFO|1040.609000| Received new client connection (client 6 at 127.0.0.1:18944). Number of connected clients: 1| in C:\Project\PlusB-bin\PlusLib\src\PlusServer\vtkPlusOpenIGTLinkServer.cxx(276)
030121_224943.428|INFO|1040.786000| OpenIGTLink broadcasting started. No data was available between 0-1010.82sec, therefore no data were broadcasted during this time period.| in C:\Project\PlusB-bin\PlusLib\src\PlusServer\vtkPlusOpenIGTLinkServer.cxx(427)
030121_225004.858|INFO|1062.216000| Client disconnected - could not send TRANSFORM message to client (device name: StylusToBase  Timestamp: 1614657004.354671).| in C:\Project\PlusB-bin\PlusLib\src\PlusServer\vtkPlusOpenIGTLinkServer.cxx(1038)
030121_225005.067|INFO|1062.425000| Client disconnected (127.0.0.1:18944). Number of connected clients: 0| in C:\Project\PlusB-bin\PlusLib\src\PlusServer\vtkPlusOpenIGTLinkServer.cxx(1143)
030121_225055.134|INFO|1112.492000| Received new client connection (client 7 at 127.0.0.1:18944). Number of connected clients: 1| in C:\Project\PlusB-bin\PlusLib\src\PlusServer\vtkPlusOpenIGTLinkServer.cxx(276)
030121_225055.155|INFO|1112.513000| OpenIGTLink broadcasting started. No data was available between 0-1082.55sec, therefore no data were broadcasted during this time period.| in C:\Project\PlusB-bin\PlusLib\src\PlusServer\vtkPlusOpenIGTLinkServer.cxx(427)
030121_225216.089|INFO|1193.447000| Client disconnected - could not send TRANSFORM message to client (device name: StylusToBase  Timestamp: 1614657135.587229).| in C:\Project\PlusB-bin\PlusLib\src\PlusServer\vtkPlusOpenIGTLinkServer.cxx(1038)
030121_225216.297|INFO|1193.655000| Client disconnected (127.0.0.1:18944). Number of connected clients: 0| in C:\Project\PlusB-bin\PlusLib\src\PlusServer\vtkPlusOpenIGTLinkServer.cxx(1143)
